Graphics Coprocessor	Count
Intel	1348
NVIDIA GeForce RTX 3070	202
Intel Iris Xe Graphics	145
Intel Integrated Graphics	103
Intel UHD Graphics	98
AMD Radeon Graphics	40
Intel UHD Graphics 620	26
NVIDIA GeForce RTX 3060	25
NVIDIA GeForce RTX 4070	25
NVIDIA GeForce RTX 3050 Ti	22
Intel HD Graphics 520	22
Integrated Graphics	21
NVIDIA GeForce RTX 3050	18
Intel HD Graphics 400	17
NVIDIA GeForce RTX 4060	17
Intel Iris	16
Intel UHD Graphics 600	15
NVIDIA GeForce RTX 3080	15
Intel HD Graphics 620	14
Intel HD Graphics	11
Nvidia RTX A1000	10
NVIDIA GeForce RTX 4080	9
AMD Radeon R5	8
AMD Integrated Graphics	8
NVIDIA GeForce GTX 1060	8
NVIDIA GeForce RTX 3080 Ti	7
NVIDIA GeForce RTX 3070 Ti	7
NVIDIA GeForce RTX 4050	7
Intel HD Graphics 500	6
NVIDIA GeForce GTX 1650	6
Intel HD Graphics 3000	6
NVIDIA GeForce GTX 1050	5
NVIDIA RTX A3000	5
intel	5
Intel HD Graphics 5500	5
NVIDIA GeForce GTX 1050 Ti	5
AMD Radeon Graphics 5500	5
NVIDIA RTX A500	5
AMD Radeon	5
Intel UHD Graphics 605	5
NVIDIA GeForce RTX A4500	4
NVIDIA RTX A1000	4
integrated_graphics	4
Intel HD Graphics 4000	4
NVIDIA GeForce RTX 2060	4
AMD Radeon 680M	4
AMD Radeon R7	4
Intel Iris Plus	4
NVIDIA RTX A2000	3
NVIDIA GeForce MX250	3
NVIDIA Intel T500 Iris Xe Graphics	3
NVIDIA GeForce RTX 2080	3
NVIDIA GeForce GTX 1660Ti	3
Intel HD Graphics 4400	3
NVIDIA Quadro RTX 4000 with Max-Q Design 8GB GDDR6	3
NVIDIA GeForce RTX 2070	3
Intel UHD 620 Graphics	3
NVIDIA Quadro T1000	3
AMD Radeon Vega 3	3
NVIDIA RTX A4500 16GB GDDR6 (4DP)	3
AMD Radeon 680M Graphics	3
AMD Radeon R4	3
Intel UHD Graphics 630	3
NVIDIA T550	2
NVIDIA	2
Intel HD Graphics 5000	2
NVIDIA Â® GeForce RTXâ„¢ 2060	2
Intel HD Graphics 610	2
INTEL	2
NVIDIA Intel RTX A5000 UHD Graphics	2
AMD	2
Intel Graphics Integrated	2
NVIDIA GeForce RTX 4090	2
NVIDIA RTX A4500	2
Nvidia	2
NVIDIA RTX A3000 12GB GDDR6	2
Integrated	2
NVIDIA GeForce RTX	2
Intel HD Graphics 5300	2
XPS9300-7909SLV-PUS	2
NVIDIA Quadro T500 2GB	2
Embedded	2
PowerVR GX6250	2
Intel HD Graphics 615	2
AMD Radeon Pro 560	2
Intel HD Graphics 515	2
NVIDIA GeForce RTX 2070 Max-Q	2
NVIDIA GeForce TRX 3070	1
Dedicated	1
NVIDIA GeForce MX450	1
NVIDIA Â®	1
AMD Radeon Hd 8330	1
NVIDIA RTX 3500 Ada	1
NVIDIA GeForce RTX 2080 Max-Q	1
Intel HD 4000	1
Intel HD Graphics 600	1
NVIDIA Â® RTXâ„¢ A4500, 16 GB GDDR6	1
NVIDIA RTX A5500 16GB GDDR6	1
NVIDIA GeForce RTX 2080 Super	1
NVIDIA RTX 2080 Super	1
Integrated ARM Mali-G52 2EE MC2 GPU	1
NVIDIA Intel RTX A2000 UHD Graphics	1
NVIDIA RTX A3000 6GB GDDR6	1
Integrated Intel Graphics	1
NVIDIA RTX A3000, 12 GB DDR6	1
integreted	1
AMD Radeon RX Vega 10	1
AMD Radeon Graphics 5	1
2GB NVIDIA GeForce MX230 Graphics	1
AMD Radeon Vega 8	1
NVIDIA Quadro RTX 5000	1
Integrated AMD Radeonâ„¢ Graphics	1
Intel Iris X	1
Intel HD Graphics 530	1
Intel HD Graphics;NVIDIA Optimus Graphics	1
Integrated Intel HD Graphics	1
AMD Radeon Vega 9	1
Intel Iris Plus Graphics 640	1
NVIDIA GeForce RTX 2050	1
Integrated Intel Graphic	1
HD Integrated Graphics	1
